"","vial","variable","event"
"778","MA-G-3",11.4,1
"779","RP-G-1",11.4,1
"780","MA-G-1",11.9,1
"781","MA-G-1",11.9,1
"782","MA-G-1",11.9,1
"783","MA-G-1",11.9,1
"784","MA-G-1",11.9,1
"785","MA-G-2",11.9,1
"786","MA-G-2",11.9,1
"787","MA-G-2",11.9,1
"788","MA-G-2",11.9,1
"789","FJ-G-1",12.1,1
"790","MA-G-1",12.1,1
"791","MA-G-1",12.1,1
"792","MA-G-1",12.1,1
"793","MA-G-1",12.1,1
"794","RP-G-1",12.1,1
"795","FJ-G-2",12.3,1
"796","MA-G-1",12.3,1
"797","MA-G-1",12.3,1
"798","MA-G-1",12.3,1
"799","MA-G-2",12.3,1
"800","RP-G-1",12.3,1
"801","MA-G-1",12.9,1
"802","PR-G-3",12.9,1
"803","MA-G-1",13.1,1
"804","MA-G-2",13.1,1
"805","MA-G-2",13.1,1
"806","MA-G-2",13.1,1
"807","MA-G-2",13.1,1
"808","MA-G-2",13.1,1
"809","CH-G-3",13.1,1
"810","CL-G-1",13.1,1
"811","MA-G-1",13.3,1
"812","FJ-G-1",13.9,1
"813","FJ-G-2",13.9,1
"814","MA-G-2",15,1
"815","FJ-G-2",15.3,1
"816","CH-G-3",20,1
"817","CH-G-3",20,1
"818","CL-G-1",20,1
"819","CL-G-1",20,1
"820","BP-AX-3",8.3,1
"821","BP-AX-3",8.3,1
"822","BP-AX-3",8.3,1
"823","BP-AX-3",8.9,1
"824","BP-AX-3",8.9,1
"825","BP-AX-3",8.9,1
"826","BP-AX-3",8.9,1
"827","BP-AX-3",8.9,1
"828","CO-AX-1",8.9,1
"829","CO-AX-1",8.9,1
"830","CO-AX-2",8.9,1
"831","CO-AX-2",8.9,1
"832","CO-AX-2",8.9,1
"833","CO-AX-3",8.9,1
"834","CO-AX-3",8.9,1
"835","PO-AX-1",9.1,1
"836","PO-AX-3",9.1,1
"837","PO-AX-3",9.1,1
"838","PO-AX-3",9.1,1
"839","PO-AX-3",9.1,1
"840","PO-AX-3",9.1,1
"841","PO-AX-3",9.1,1
"842","BP-AX-1",9.3,1
"843","BP-AX-3",9.3,1
"844","BP-AX-3",9.3,1
"845","CA-AX-1",9.3,1
"846","CA-AX-1",9.3,1
"847","CA-AX-1",9.3,1
"848","CO-AX-2",9.3,1
"849","CO-AX-2",9.3,1
"850","CO-AX-2",9.3,1
"851","CO-AX-3",9.3,1
"852","CO-AX-3",9.3,1
"853","CO-AX-3",9.3,1
"854","CO-AX-3",9.3,1
"855","CO-AX-3",9.3,1
"856","CO-AX-3",9.3,1
"857","CO-AX-3",9.3,1
"858","CO-AX-3",9.3,1
"859","PO-AX-2",9.3,1
"860","PO-AX-2",9.3,1
"861","PO-AX-2",9.3,1
"862","PO-AX-2",9.3,1
"863","PO-AX-2",9.3,1
"864","PO-AX-2",9.3,1
"865","PO-AX-2",9.3,1
"866","PO-AX-3",9.3,1
